序号,歌名,专辑,时长,链接
241,希望有羽毛和翅膀,崩坏星穹铁道-空气蛹 INSIDE,3:49,https://y.qq.com/n/ryqq/songDetail/004ArOCZ13Lvqo
242,巡光,巡光,3:29,https://y.qq.com/n/ryqq/songDetail/003Nwqmx1Lk7ca
243,勋章,勋章,3:35,https://y.qq.com/n/ryqq/songDetail/001vBZtU09AoiB
244,仰望星空,听！我们的歌,4:22,https://y.qq.com/n/ryqq/songDetail/0029hTYk3pIsao
245,烟火,烟火,3:57,https://y.qq.com/n/ryqq/songDetail/001UT48F1x3lWR
246,遥不可及,遥不可及,3:08,https://y.qq.com/n/ryqq/songDetail/000oQfaW1KWBCu
247,夜空的寂静 (钢琴曲),夜色钢琴曲 (原创),2:36,https://y.qq.com/n/ryqq/songDetail/002fE3oa0HixZd
248,夜空中最亮的星,世界,4:12,https://y.qq.com/n/ryqq/songDetail/001NmPTG1fVsUw
249,野狼disco,野狼disco,3:56,https://y.qq.com/n/ryqq/songDetail/001an8ju3IkKLW
250,夜明,陰陽師,4:44,https://y.qq.com/n/ryqq/songDetail/001mryIU1rdqEk
251,夜色钢琴曲,未知专辑,1:11,https://y.qq.com/n/ryqq/songDetail/000xHZ6923phDB
252,一番星 (第一颗星),Lipstick/一番星,4:49,https://y.qq.com/n/ryqq/songDetail/001pu8UD2kco6g
253,"Gotta Go My Own Way (From ""High School Musical 2""/Soundtrack Version)",High School Musical 2 (Original Soundtrack),3:42,https://y.qq.com/n/ryqq/songDetail/0005NtRQ2gjyyf
254,够爱,强辩之终极三国 三团鼎立SUPER大斗阵,4:51,https://y.qq.com/n/ryqq/songDetail/004KyQVF3fJ47s
255,够爱,东城卫,5:52,https://y.qq.com/n/ryqq/songDetail/001TXQwj2Aoz3n
256,勾指起誓,勾指起誓,3:03,https://y.qq.com/n/ryqq/songDetail/001mCQBO18pFX1
257,gravityWall,Gravity Wall / Sh0ut,3:46,https://y.qq.com/n/ryqq/songDetail/001UGKKH3QiqwX
258,广寒谣,广寒谣,3:05,https://y.qq.com/n/ryqq/songDetail/002GdzPk0NgUYh
259,光年之外,光年之外,3:55,https://y.qq.com/n/ryqq/songDetail/002E3MtF0IAMMY
260,归期,凡人修仙传 第二季 动画原声带,4:39,https://y.qq.com/n/ryqq/songDetail/003bBhOx11Y8Qv
261,归寻,归寻,3:14,https://y.qq.com/n/ryqq/songDetail/0005JOdN2oCCea
262,过火,宽容,5:02,https://y.qq.com/n/ryqq/songDetail/002bongo1BDtKz
263,过客,过客,4:30,https://y.qq.com/n/ryqq/songDetail/0045KLbl18QqyB
264,古傷 (古伤),古傷 (古伤),3:47,https://y.qq.com/n/ryqq/songDetail/003mnGxP1DD9ha
265,海阔天空,海阔天空,5:26,https://y.qq.com/n/ryqq/songDetail/002MOW3w0vbJHf
266,海浪、海鸥与你,海浪、海鸥与你,3:14,https://y.qq.com/n/ryqq/songDetail/0039nLsb14bmkY
267,海色,海色,4:16,https://y.qq.com/n/ryqq/songDetail/0032xQev49nGla
268,还是分开 (我用力去抓你的衣角),还是分开 (我用力去抓你的衣角),3:40,https://y.qq.com/n/ryqq/songDetail/000td5qI0ObS9A
269,还有我,如果没有你,3:48,https://y.qq.com/n/ryqq/songDetail/000vXQxb4PNbLk
270,好きだから。 (因为我喜欢你。),好きだから。,4:58,https://y.qq.com/n/ryqq/songDetail/004U4TUC0mqItn
271,He's a Pirate,Encore,3:01,https://y.qq.com/n/ryqq/songDetail/004K8fTL2DPOXl
272,黑暗里,黑暗里,3:27,https://y.qq.com/n/ryqq/songDetail/003Yp7OA2EF7fT
273,和煦的糖果风,和煦的糖果风,3:03,https://y.qq.com/n/ryqq/songDetail/00005hPI3xXN8B
274,紅蓮華,紅蓮華,3:58,https://y.qq.com/n/ryqq/songDetail/003nEAIf3Rmatn
275,红色高跟鞋,若你碰到他,3:26,https://y.qq.com/n/ryqq/songDetail/003IGhQO0JdnuC
276,后宫,后宫,4:03,https://y.qq.com/n/ryqq/songDetail/000aCgPv0qKyEL
277,后继者,后继者,4:02,https://y.qq.com/n/ryqq/songDetail/003qKlqV1PVMB8
278,后来我们的爱 (女版),后来我们的爱 (女版),2:29,https://y.qq.com/n/ryqq/songDetail/002Jb7f44Wg1SX
279,坏女孩,不良少年,4:06,https://y.qq.com/n/ryqq/songDetail/0001oIjs0YFIf7
280,花降らし (落花),花降らし,4:54,https://y.qq.com/n/ryqq/songDetail/002LdPSW4Fqrwz
281,黄昏海岸线,黄昏海岸线,3:00,https://y.qq.com/n/ryqq/songDetail/000fjnzN0FWMHa
282,花人局,盗作,5:33,https://y.qq.com/n/ryqq/songDetail/004RiQSW2XEMGP
283,画心,画心,7:12,https://y.qq.com/n/ryqq/songDetail/0045cdSn27l6YM
284,花は誰のもの?,花は誰のもの? Special Edition,4:11,https://y.qq.com/n/ryqq/songDetail/003e60HY2x6kPe
285,蝴蝶夫人,蝴蝶夫人,3:25,https://y.qq.com/n/ryqq/songDetail/002Vnphp0q9EPu
286,回到那天,回到那天,3:31,https://y.qq.com/n/ryqq/songDetail/004bZCHs2MkBGL
287,回向 -echo-,RULE THE WORLD,4:36,https://y.qq.com/n/ryqq/songDetail/000tmfG22sRWDg
288,回忆成了大问题,回忆成了大问题,2:35,https://y.qq.com/n/ryqq/songDetail/0000gEvy1oLdxo
289,回忆观影券,回忆观影券,2:50,https://y.qq.com/n/ryqq/songDetail/0040W0qk0yaaME
290,Hustler,Golden Age,3:14,https://y.qq.com/n/ryqq/songDetail/0031bhnb0o8tgs
291,狐言,狐言,3:31,https://y.qq.com/n/ryqq/songDetail/000idahy2pT761
292,i BELIEVE ～星に願いを (i BELIEVE～向星星许愿),i BELIEVE ～星に願いを,5:23,https://y.qq.com/n/ryqq/songDetail/0005Lfp6434bse
293,I Can,"Brightside, Vol. One EP",3:29,https://y.qq.com/n/ryqq/songDetail/002MRroR30c9CX
294,I Knew You Were Trouble,I Knew You Were Trouble.,3:39,https://y.qq.com/n/ryqq/songDetail/002UQcup2VNwVV
295,I Love You,I Love You,4:22,https://y.qq.com/n/ryqq/songDetail/000WzRYa4Qyt3X
296,I Miss You,Paradise,3:49,https://y.qq.com/n/ryqq/songDetail/002J77410c45ow
297,I Say Yeah (Vanni G Extended Mix),I Say Yeah,4:59,https://y.qq.com/n/ryqq/songDetail/0021lNKi4Tspcd
298,I Stay In Love,E=MC²,3:32,https://y.qq.com/n/ryqq/songDetail/003aAHzn3yIA0b
299,I Wanted You,Blue Lover,3:53,https://y.qq.com/n/ryqq/songDetail/002qw3ro3LO7yR
300,I Won't Be There,Kayleigh O'Connor,3:34,https://y.qq.com/n/ryqq/songDetail/002QZm4m0qjj8e
301,I'll Be The One,Flight Number 001,4:56,https://y.qq.com/n/ryqq/songDetail/004cDTP73dYxqj
302,I'll Be There,I'll Be There,3:01,https://y.qq.com/n/ryqq/songDetail/001YkE8t400yNT
303,If These Walls Could Talk,Eleven,4:06,https://y.qq.com/n/ryqq/songDetail/000gp4zK1lHBah
304,Imagine,Sanctuary,3:43,https://y.qq.com/n/ryqq/songDetail/000Q5Kcl1zCocG
305,Inconsolable,For A Moment,4:24,https://y.qq.com/n/ryqq/songDetail/002T76H805M4DG
306,Indigo Sky,Fragment of Eden,4:19,https://y.qq.com/n/ryqq/songDetail/000ofKLV2vX0Kq
307,Innocence,The Best Damn Thing/Under My Skin,3:53,https://y.qq.com/n/ryqq/songDetail/002K935L4BpdhT
308,It's Your Birthday (Inst.),It's Your Birthday,2:57,https://y.qq.com/n/ryqq/songDetail/000NcAp02smcHX
309,IVORY TOWER (feat. SennaRin),《龙族》动画OST,2:57,https://y.qq.com/n/ryqq/songDetail/002IVysA1be4yp
310,江南,第二天堂,4:27,https://y.qq.com/n/ryqq/songDetail/004TXEXY2G2c7C
311,剑心,古剑奇谭 电视原声带,4:12,https://y.qq.com/n/ryqq/songDetail/001ICqTe0z2YCL
312,加油,100天,3:47,https://y.qq.com/n/ryqq/songDetail/0049t0gc2joqxK
313,極楽浄土,約束 -Promise code- (约定 -Promise code-),3:38,https://y.qq.com/n/ryqq/songDetail/000lhlAi3bMmTa
314,寂寞沙洲冷,星空下的传说,4:34,https://y.qq.com/n/ryqq/songDetail/003XPmiG3eMglL
315,静悄悄 (池鱼版),静悄悄 (池鱼版),3:30,https://y.qq.com/n/ryqq/songDetail/001URfqo29Y1h8
316,静悄悄 (Remix),静悄悄（Remix版）,2:44,https://y.qq.com/n/ryqq/songDetail/001EJzGW3zc33t
317,静心低语曲,聆听森林的私语,2:04,https://y.qq.com/n/ryqq/songDetail/002Mz8Zd1FF4yB
318,静かに愛してる (给你的爱一直很安静),静かに愛してる,4:07,https://y.qq.com/n/ryqq/songDetail/002mXF2K0nDobi
319,今、歩き出す君へ。 (献给此刻迈步前行的你。),PCゲーム「いますぐお兄ちゃんに妹だっていいたい!」ボーカルアルバム,4:39,https://y.qq.com/n/ryqq/songDetail/002annJO3Vo97M
320,记忆覆盖,记忆覆盖(生活就是这样),3:10,https://y.qq.com/n/ryqq/songDetail/003zTSGd3T0cuQ
321,记忆停留,记忆停留,2:54,https://y.qq.com/n/ryqq/songDetail/002WcwVL2ypOuf
322,句号,摩天动物园,3:55,https://y.qq.com/n/ryqq/songDetail/001QJyJ32zybEe
323,栞,栞,4:26,https://y.qq.com/n/ryqq/songDetail/004DeDIV2CkQE3
324,可愛くてごめん (这么可爱真是抱歉),可愛くてごめん,3:39,https://y.qq.com/n/ryqq/songDetail/0006NGKC1eKMbE
325,可不可以,可不可以,4:00,https://y.qq.com/n/ryqq/songDetail/000x2ZyK1FYFht
326,Keep Rolling On,Strum Strum,3:07,https://y.qq.com/n/ryqq/songDetail/0003QG3W3gwJU6
327,可笑,可笑,3:35,https://y.qq.com/n/ryqq/songDetail/0010YjE40SalGp
328,可以了,rice & shine,4:53,https://y.qq.com/n/ryqq/songDetail/002KvLx4425LV7
329,Killing In The Name (Explicit),Rage Against The Machine - XX (20th Anniversary Special Edition) [Explicit],5:13,https://y.qq.com/n/ryqq/songDetail/000QKRwk494MjR
330,空山新雨后,听,2:53,https://y.qq.com/n/ryqq/songDetail/001SCeNA1ysL0k
331,跨过山海去表白,跨过山海去表白,3:07,https://y.qq.com/n/ryqq/songDetail/003G5VYs3aqTmE
332,藍悼花 (feat. Lucia),HARMONICS,4:58,https://y.qq.com/n/ryqq/songDetail/001gkCAJ0HDbV3
333,老街,小黄,5:18,https://y.qq.com/n/ryqq/songDetail/000sU9jC3bN2dY
334,老男孩,父亲,4:59,https://y.qq.com/n/ryqq/songDetail/001xXUin4eaeA4
335,Last Reincarnation,Last Reincarnation,3:10,https://y.qq.com/n/ryqq/songDetail/000HOKX94GfldO
336,LAST STARDUST,DAWN,5:18,https://y.qq.com/n/ryqq/songDetail/003MHj8e0857Qw
337,Layla蕾拉,外南街1982,3:02,https://y.qq.com/n/ryqq/songDetail/001tInOl2tShpy
338,Leave The Night On,Montevallo,3:12,https://y.qq.com/n/ryqq/songDetail/003TTZ8g1PKzo6
339,泪桥,泪桥,3:45,https://y.qq.com/n/ryqq/songDetail/002iuMFp4IQ8bN
340,Lemon Tree,Lemon Tree,3:17,https://y.qq.com/n/ryqq/songDetail/003zmeDP46hm6i
341,Let me hear (Remix),【寄生獣 セイの格率】Doujin Music,2:42,https://y.qq.com/n/ryqq/songDetail/001pQZfR4I948N
342,Letting Go,说到爱,4:23,https://y.qq.com/n/ryqq/songDetail/004aJoYT3ia7al
343,两个人总是,美少女万華鏡 -かつて少女だった君へ- (美少女万华镜 -献给曾经是少女的你-),2:32,https://y.qq.com/n/ryqq/songDetail/003XuzO71q7Yuz
344,恋人心,恋人心,3:26,https://y.qq.com/n/ryqq/songDetail/000AiNwg0VofTx
345,练习,美丽的一天,4:20,https://y.qq.com/n/ryqq/songDetail/002Q4Jgw0dxWxt
346,恋音と雨空 (恋歌与雨天),1LDK,5:18,https://y.qq.com/n/ryqq/songDetail/002g7Bfv0Ri1Qi
347,恋はキライだ (讨厌恋爱),恋はキライだ (讨厌恋爱),3:34,https://y.qq.com/n/ryqq/songDetail/003ojQJO03wMtP
348,聊天记录,聊天记录,3:02,https://y.qq.com/n/ryqq/songDetail/002uVoo0344Mqy
349,Lifewalk,Fragment of Eden,4:18,https://y.qq.com/n/ryqq/songDetail/004IRbIh0lZ7Z0
350,Light It Up,Light It Up,3:05,https://y.qq.com/n/ryqq/songDetail/002Ed2d12xRduA
351,Light My Way,light my way,4:19,https://y.qq.com/n/ryqq/songDetail/003y1Htz0r167Y
352,立剑,一念关山 影视剧原声大碟,3:33,https://y.qq.com/n/ryqq/songDetail/000dtvG10uk5bF
353,一番の宝物 (Original Version),Angel Beats! Original SoundTrack (天使的心跳! TV动画原声带),6:00,https://y.qq.com/n/ryqq/songDetail/002kbESJ22hsFV
354,一番の宝物 (Yui ver.),Keep The Beats!,5:59,https://y.qq.com/n/ryqq/songDetail/0027GNUy3hRCSH
355,遗憾皆在风中,遗憾皆在风中,3:50,https://y.qq.com/n/ryqq/songDetail/003pFCAZ2QIwm8
356,倚栏听风,倚栏听风,3:41,https://y.qq.com/n/ryqq/songDetail/00226Rm433S0Ep
357,一路生花,一路生花,4:16,https://y.qq.com/n/ryqq/songDetail/004AxmlM3YihD2
358,壱雫空,壱雫空,3:09,https://y.qq.com/n/ryqq/songDetail/001Ql8nn2TVmek
359,樱花草,花言乔语 (精装版),4:43,https://y.qq.com/n/ryqq/songDetail/000Tx0ZM2xaBhM
360,樱花树下的约定,樱花树下的约定,2:57,https://y.qq.com/n/ryqq/songDetail/002w52kY33Gp0Z
361,樱花树下的约定,樱花树下的约定,1:50,https://y.qq.com/n/ryqq/songDetail/003IAq9p2bb7Ni
362,樱花坠落后,樱花坠落后,3:17,https://y.qq.com/n/ryqq/songDetail/004ZRgif0lNTnB
363,英雄寞,怪胎,4:27,https://y.qq.com/n/ryqq/songDetail/002KjiHo3p7pAq
364,银河与星斗,银河与星斗,3:14,https://y.qq.com/n/ryqq/songDetail/003lgoEG1SWHmF
365,一起去风里吧,一起去风里吧,3:03,https://y.qq.com/n/ryqq/songDetail/000a4e9q47z3I4
366,一首想不通的古风,一首想不通的古风,4:06,https://y.qq.com/n/ryqq/songDetail/003mCnCs4Y4SZg
367,一吻天荒,轩辕剑之天之痕 电视剧原声带,4:12,https://y.qq.com/n/ryqq/songDetail/001nWoME0kaG55
368,一心不乱,未知专辑,3:19,https://y.qq.com/n/ryqq/songDetail/00313CFf2gTa2z
369,一直很安静,仙剑奇侠传 电视剧原声带,4:10,https://y.qq.com/n/ryqq/songDetail/0029eQ0Z1Cxptl
370,You Look Better When I'm Drunk,Promo Only Mainstream Radio June 2010,3:11,https://y.qq.com/n/ryqq/songDetail/000ll0IF2Bkp3Q
371,You Should Get Over Me,You Should Get Over Me,3:34,https://y.qq.com/n/ryqq/songDetail/001SPCwT4ZLIy9
372,You&Me,MELLOW RIDE MIX,3:47,https://y.qq.com/n/ryqq/songDetail/000sHnZm4PyWiE
373,You're On,Amos,3:04,https://y.qq.com/n/ryqq/songDetail/000JUnrL0339Fy
374,有点甜,万有引力,3:55,https://y.qq.com/n/ryqq/songDetail/001bdYk41BCfRi
375,有何不可,自定义,4:01,https://y.qq.com/n/ryqq/songDetail/002mZevo3wHvsc
376,忧伤还是快乐,The Golden Piano,4:11,https://y.qq.com/n/ryqq/songDetail/004cQiY03hPODR
377,游山恋,游山恋,3:43,https://y.qq.com/n/ryqq/songDetail/001oGtPo00bUil
378,愚爱,愚爱,4:32,https://y.qq.com/n/ryqq/songDetail/002PnWp40b6T8R
379,愿得一人心,愿得一人心,4:37,https://y.qq.com/n/ryqq/songDetail/002pTIXQ3UVAVP
380,鸳鸯债,纸嫁衣3鸳鸯债,2:27,https://y.qq.com/n/ryqq/songDetail/001DA2gT3d0Bvt
381,遠い空へ,遥远的天空,3:26,https://y.qq.com/n/ryqq/songDetail/000Kk7Dv1yj1nA
382,雨道,雨道,3:37,https://y.qq.com/n/ryqq/songDetail/0028Z04C1WbH0p
383,月光,音乐斌潮,4:32,https://y.qq.com/n/ryqq/songDetail/000c5J4O1KmPSA
384,月桂女神,不想长大,5:13,https://y.qq.com/n/ryqq/songDetail/0036r15Y0J26BZ
385,越来越不懂,Close To 蔡健雅 Original x Tanya / Original x Tanya Demo,3:49,https://y.qq.com/n/ryqq/songDetail/001naIrr2wx0d0
386,越难越爱 (粤语),越难越爱 Love Collection 精选,3:57,https://y.qq.com/n/ryqq/songDetail/00258zy70zdr5q
387,約束,约定,4:52,https://y.qq.com/n/ryqq/songDetail/002Nn2nE0Hu7WM
388,雨空 - after -,雨空 - after -,5:34,https://y.qq.com/n/ryqq/songDetail/002nVD7F2CaaeW
389,御龙三国志,御龙在天 游戏原声带,4:11,https://y.qq.com/n/ryqq/songDetail/002h2AGC1c5DeI
390,淤泥深处的星星,无人问津的星球,5:20,https://y.qq.com/n/ryqq/songDetail/003BnKUT0sO5kv
391,云之羽,云之羽 影视原声带,4:18,https://y.qq.com/n/ryqq/songDetail/000vTX5k4PkZet
392,遇萤-橙光《遇龙》主题曲,遇龙·橙光OST,4:00,https://y.qq.com/n/ryqq/songDetail/001CD1XU0V7pRb
393,再飞行,再飞行,1:31,https://y.qq.com/n/ryqq/songDetail/000Fc2iQ4eBEei
394,再生 (2023 Live),セカイシンフォニー Sekai Symphony 2023 Live,5:22,https://y.qq.com/n/ryqq/songDetail/002xct6i161nsM
395,怎么会狠心伤害我,源情歌,4:28,https://y.qq.com/n/ryqq/songDetail/000Foied2MchaC
396,着魔,着魔,3:35,https://y.qq.com/n/ryqq/songDetail/000wpbOx3f6UDZ
397,真的爱你,BEYOND IV,4:35,https://y.qq.com/n/ryqq/songDetail/004Gyue33FERTT
398,真英雄,疼爱,4:24,https://y.qq.com/n/ryqq/songDetail/002zaSc21y2pgZ
399,谪仙,谪仙,2:58,https://y.qq.com/n/ryqq/songDetail/000zFAcX3JhXzY
400,只为你着迷,只为你着迷,4:00,https://y.qq.com/n/ryqq/songDetail/001tZG6r2hDJDI
401,指纹,指纹,4:00,https://y.qq.com/n/ryqq/songDetail/000HTbQv2OHqYi
402,只要你愿意,只要你愿意,3:30,https://y.qq.com/n/ryqq/songDetail/000GRkEP05DlyO
403,重塑,永夜星河 影视原声大碟,3:12,https://y.qq.com/n/ryqq/songDetail/002LlrHG2qBKOw
404,追憶の光 (追忆之光),追憶の光 (追忆之光),4:15,https://y.qq.com/n/ryqq/songDetail/003Cfhj74Arwso
405,诛仙我回来,如果没有你,4:14,https://y.qq.com/n/ryqq/songDetail/004PvBBf1PafUN
406,自由之歌,末日青春：补完计划,4:22,https://y.qq.com/n/ryqq/songDetail/001p4umh1wYqsa
407,走马,走马,4:15,https://y.qq.com/n/ryqq/songDetail/001oilwq3Y9Wni
408,最后一页,恋习,4:05,https://y.qq.com/n/ryqq/songDetail/004INdnu0H2fok
409,最美的期待,最美的期待,3:30,https://y.qq.com/n/ryqq/songDetail/003YC3p31HyR96
410,最強ガール,JELEE BOX,3:13,https://y.qq.com/n/ryqq/songDetail/002oNsq52pQdZj
411,最強ガール (最强女孩),最強ガール (最强女孩),3:13,https://y.qq.com/n/ryqq/songDetail/002OpfhW1Edtyy
412,醉情长,新月痕（治愈版）,3:20,https://y.qq.com/n/ryqq/songDetail/000tTypq0zPOgU
413,unknown,unknown,4:20,https://y.qq.com/n/ryqq/songDetail/003G0xKt1AOI4q
414,15楼窗外,15楼窗外 (大制作家1简单与伟大),2:59,https://y.qq.com/n/ryqq/songDetail/000ONHH02IKqr2
415,"24/7, 365","24/7, 365",2:47,https://y.qq.com/n/ryqq/songDetail/000jayNF4Qyb4v
416,5：20AM (DJ律动版),5：20AM（DJ律动版）,2:42,https://y.qq.com/n/ryqq/songDetail/004IEvHV1O3V1i
417,あいぞめ (蓝染) (piano version),地狱少女 二笼 オリジナルサウンドトラック II (地狱少女二笼原声集),2:03,https://y.qq.com/n/ryqq/songDetail/001Le9O81JdH3X
418,あなたに愛たくて (想爱你),BEST,4:37,https://y.qq.com/n/ryqq/songDetail/003GOAol2MwQHM
419,あの夢をなぞって (描绘着那场梦),あの夢をなぞって,4:00,https://y.qq.com/n/ryqq/songDetail/004OZAE22YnVrF
420,あの夢をなぞって (描绘着那场梦) (Ballade Ver.),あの夢をなぞって (Ballade Ver.),3:44,https://y.qq.com/n/ryqq/songDetail/003mteBc2pvMSL
421,ありがとう… (谢谢),Advanced Music From Japan Vol.1,4:09,https://y.qq.com/n/ryqq/songDetail/0011y2bn053X8X
422,いつもこの場所で (一直在这个地方),「劇場版 STEINS;GATE 負荷領域のデジャヴ」エンディングテーマ「いつもこの場所で」 (剧场版《命运石之门：负荷领域的既视感》片尾曲 一直在这个地方),5:20,https://y.qq.com/n/ryqq/songDetail/001xcGhu4DnzJY
423,ここで生きてる (依然存活于此),ここで生きてる,3:22,https://y.qq.com/n/ryqq/songDetail/001NER8J4CiYMq
424,この青空と流れる雲に (在这蓝天和流云中),なつかぜメモリア,3:33,https://y.qq.com/n/ryqq/songDetail/003WDRlO13A8ER
425,さよならさよなら (再见了再见了),NEXT SCHOOL,3:40,https://y.qq.com/n/ryqq/songDetail/000yGwHK0eI0eG
426,しでの鳥 (不死鸟),偽物語 第五巻/つきひフェニックス（下） (｢伪物语”剧伴音楽集 其ノ肆&あとがたり完全版),2:12,https://y.qq.com/n/ryqq/songDetail/0003bKBQ0lxxtu
427,その声消えないよ (你的声音不会消失),その声消えないよ feat.Sunya (那声音无法消失),4:53,https://y.qq.com/n/ryqq/songDetail/004PJmrR0MgyCr
428,そばにいるね (留在我身边),そばにいるね (我在你身边),5:02,https://y.qq.com/n/ryqq/songDetail/001WuMuz0POh9H
429,それでも好きで (即便如此还是喜欢),告うた~あなたへ贈る歌~ (告白歌~献给你的歌~),4:55,https://y.qq.com/n/ryqq/songDetail/000xiC2H2ia4vO
430,ただ君に晴れ (只为你拨云放晴),負け犬にアンコールはいらない (败犬不需要安可),3:18,https://y.qq.com/n/ryqq/songDetail/000HVNPt0k7pO7
431,ただ声一つ (只想说一声),ただ声一つ,2:41,https://y.qq.com/n/ryqq/songDetail/002cn4sX1hWeYm
432,だから僕は音楽を辞めた (所以我放弃了音乐),だから僕は音楽を辞めた (所以我放弃了音乐),4:02,https://y.qq.com/n/ryqq/songDetail/000rIBew065PCy
433,とおりゃんせ～甘美風来,千恋＊万花 キャラクターソング Vol.1「とおりゃんせ～甘美風来」,3:25,https://y.qq.com/n/ryqq/songDetail/0014wLpP1PVrDH
434,どこまでも ひろがる空に向かって (无论在何地都向着广阔天空),All My Words,4:23,https://y.qq.com/n/ryqq/songDetail/001AxwcN2CZiZH
435,ひかり (光芒),ひかり (光),5:22,https://y.qq.com/n/ryqq/songDetail/000IeunX4IYl7g
436,ひとりぼっち東京 (孤独东京),青春コンプレックス,3:52,https://y.qq.com/n/ryqq/songDetail/001Xr5YM4THryV
437,ふたりだけ (只有两人),Switch ON!,3:06,https://y.qq.com/n/ryqq/songDetail/000v8RFm0wTzp8
438,ふたりの気持ち (两人的心情),TVアニメーション「犬夜叉」オリジナルサウンドトラック「犬夜叉 音楽篇 参」 (犬夜叉 TV动画原声带「犬夜叉 音乐篇 三」),2:39,https://y.qq.com/n/ryqq/songDetail/000Gj5I4014YHA
439,ふわふわ♪ (轻飘飘♪),ふわふわ (轻飘飘),4:46,https://y.qq.com/n/ryqq/songDetail/000yri5C0s4QhV
440,アイドル (偶像),アイドル (偶像),3:33,https://y.qq.com/n/ryqq/songDetail/001MFU8s2twj4U
441,アイロニ (反语) (カバー),Contrast,4:04,https://y.qq.com/n/ryqq/songDetail/004SlTZQ3NWbAO
442,アスタロア (Asterlore),PCゲーム『Summer Pockets REFLECTION BLUE』オープニングテーマ「アスタロア」 (Asterlore),4:38,https://y.qq.com/n/ryqq/songDetail/003Ox1Zv1zf9VW
443,カタオモイ (单相思),デイドリーム,3:27,https://y.qq.com/n/ryqq/songDetail/004NcTb938H05K
444,カタオモイ (单相思) (Live),"Aimer Live in 武道館 “blanc et noir""",3:50,https://y.qq.com/n/ryqq/songDetail/002gVVzk3SQKY8
445,カタチのないもの (Another ver.),カタチのないもの (Another ver.),3:03,https://y.qq.com/n/ryqq/songDetail/001AQgg130PHdG
446,カラカラ (卡拉卡拉),カラカラ,4:25,https://y.qq.com/n/ryqq/songDetail/003qTtjy2LryqU
447,キミに贈る歌 (赠与你的歌),キミに贈る歌 (赠与你的歌),4:27,https://y.qq.com/n/ryqq/songDetail/0018Zfqr4WteGg
448,ギターと孤独と蒼い惑星 (吉他与孤独与蓝色星球),ギターと孤独と蒼い惑星 (吉他与孤独与蓝色星球),3:48,https://y.qq.com/n/ryqq/songDetail/001UnSHi3ELswe
449,ビー玉 (弹珠),Close to heart,3:27,https://y.qq.com/n/ryqq/songDetail/001Yqbzw03FmYr
450,ポケットをふくらませて (将幸福装满口袋),Summer Pockets Original SoundTrack (夏日口袋 游戏原声带),6:51,https://y.qq.com/n/ryqq/songDetail/002c258241Yiyu
451,メフィスト (梅菲斯特),メフィスト (梅菲斯特 ),3:47,https://y.qq.com/n/ryqq/songDetail/000FYg371N4Wfv
452,ワールドイズマイン (World is Mine),未知专辑,4:15,https://y.qq.com/n/ryqq/songDetail/001RGo9m4bGdXJ
453,晴る (放晴),晴る,4:30,https://y.qq.com/n/ryqq/songDetail/001YD7382RBzjI
454,秋殇别恋,秋殇别恋,4:57,https://y.qq.com/n/ryqq/songDetail/000kyIJ71YOK3c
455,秋殇别恋,三世天堂,4:37,https://y.qq.com/n/ryqq/songDetail/001XJjzt1C1ylZ
456,秋天不回来,秋天不回来,4:13,https://y.qq.com/n/ryqq/songDetail/0003rqbJ3DIjcK
457,秋姉妹のなく顷に in the autumn sky (秋姐妹鸣泣之时 秋日天空下),秋満开の风に舞う (在秋天盛开的风中跳舞),4:23,https://y.qq.com/n/ryqq/songDetail/004U5e4I1L5Nsq
458,柒月,柒月,4:17,https://y.qq.com/n/ryqq/songDetail/0027bxjS2EGsxD
459,权御天下,2015哔哩哔哩拜年纪,4:10,https://y.qq.com/n/ryqq/songDetail/001xZXiW4aAhkL
460,Rainy proof,Rainy proof,4:29,https://y.qq.com/n/ryqq/songDetail/001L4ZKC2IwxIA
461,让我留在你身边,让我留在你身边,3:05,https://y.qq.com/n/ryqq/songDetail/003tlSye3PpqAg
462,Reality,Mood Swings,3:36,https://y.qq.com/n/ryqq/songDetail/001Z8yKb3so2b8
463,Reality (Acoustic Version),Reality (Acoustic Version),3:42,https://y.qq.com/n/ryqq/songDetail/003HZ0GQ4Kktpr
464,Ref:rain,Ref:rain / 眩いばかり(期間生産限定盤) (Ref:rain/光彩照人),4:50,https://y.qq.com/n/ryqq/songDetail/000rW7Vx3rhrJE
465,热恋冰淇淋,热恋冰淇淋,2:09,https://y.qq.com/n/ryqq/songDetail/001lTRsO3Bbgsj
466,Remind You,Told You So (Explicit),4:31,https://y.qq.com/n/ryqq/songDetail/001V3RgI3MTnmx
467,任性,不信邪,3:54,https://y.qq.com/n/ryqq/songDetail/002I3I0S2lJ53n
468,认真的雪,薛之谦,4:19,https://y.qq.com/n/ryqq/songDetail/001hUNRP0P8g7x
469,Rettungsmission,NIEMALS ALLEIN (Explicit),2:30,https://y.qq.com/n/ryqq/songDetail/002yQK314EabT6
470,Reweave,Reweave,3:57,https://y.qq.com/n/ryqq/songDetail/001ejvcK3N3hlw
471,日不落,未知专辑,3:48,https://y.qq.com/n/ryqq/songDetail/001694Sm3o0gA6
472,Rose (Epic Orchestra),Rose (Epic Orchestra),3:56,https://y.qq.com/n/ryqq/songDetail/000vEsQx3vd7O0
473,如果这就是爱情,我相信,4:42,https://y.qq.com/n/ryqq/songDetail/002vghem1otEWQ
